Gene Symbol,Gene ID,Interaction Count,Organism Count
EPOR,2057,3,2
ESD,2098,3,2
ETS1,2113,3,2
ETV6,2120,3,1
EYA2,2139,3,1
F2RL1,2150,3,2
F3,2152,3,2
F5,2153,3,2
FABP5,2171,3,2
FABP7,2173,3,3
FANCA,2175,3,1
FARP1,10160,3,2
FAS,355,3,2
FAXDC2,10826,3,1
FBN2,2201,3,2
FBXO6,26270,3,2
FBXW5,54461,3,1
FCER1G,2207,3,2
FCGR1A,2209,3,1
FCGR1BP,2210,3,1
FCGR2B,2213,3,1
FDPS,2224,3,3
FGD2,221472,3,2
FGFR2,2263,3,1
FGR,2268,3,2
FHL1,2273,3,2
FKBP11,51303,3,2
FKBP1A,2280,3,1
FLG,2312,3,2
FLOT1,10211,3,2
FMNL1,752,3,2
FN3K,64122,3,1
FOLR1,2348,3,2
FOXB1,27023,3,2
FPR1,2357,3,1
FREM2,341640,3,2
FRMD4A,55691,3,2
FRZB,2487,3,2
FSTL3,10272,3,2
FTL,2512,3,2
FYN,2534,3,1
FZD2,2535,3,2
GABARAPL1,23710,3,2
GADD45G,10912,3,2
GAL,51083,3,2
GALNT6,11226,3,2
GART,2618,3,1
GATA6,2627,3,1
GCA,25801,3,1
GCH1,2643,3,2
GCHFR,2644,3,2
GFPT2,9945,3,1
GFRA3,2676,3,2
GGT1,2678,3,1
GLIPR2,152007,3,1
GLIS3,169792,3,1
GLRB,2743,3,1
GNB2,2783,3,2
GPC4,2239,3,1
GPER1,2852,3,1
GPIHBP1,338328,3,2
GPR137B,7107,3,1
GPR146,115330,3,2
GPR171,29909,3,1
GPR18,2841,3,2
GRAMD1C,54762,3,1
GRB14,2888,3,2
GRIN2A,2903,3,1
GSN,2934,3,1
GSTA3,2940,3,3
GULO,268756,3,1
HADH,3033,3,3
HC,15139,3,1
HDAC5,10014,3,2
HELZ2,85441,3,2
HEY2,23493,3,2
HIF3A,64344,3,2
HIGD1A,25994,3,3
HILPDA,29923,3,1
HIP1,3092,3,2
HIVEP1,3096,3,1
HLA-DQB1,3119,3,1
HLA-F,3134,3,1
HMGCS2,3158,3,2
HOXA2,3199,3,1
HOXA3,3200,3,1
HOXC10,3226,3,1
HP,3240,3,1
HPSE,10855,3,1
HRH1,3269,3,2
HSD11B2,3291,3,2
HSPA1L,3305,3,2
HSPH1,10808,3,2
ICOS,29851,3,2
ID1,3397,3,2
ID4,3400,3,2
IDH1,3417,3,1
IDH3B,3420,3,2
IDO1,3620,3,1
IFI16,3428,3,1
IFI27,3429,3,1
IFI30,10437,3,2
IFI44,10561,3,1
IFI44L,10964,3,1
IFITM3,10410,3,2
IGF2,3481,3,2
IGSF6,10261,3,1
IKBKE,9641,3,2
IL18R1,8809,3,1
IL1R2,7850,3,2
IL1RN,3557,3,2
IL23A,51561,3,1
IL2RG,3561,3,2
IL6R,3570,3,1
INTU,27152,3,2
IPCEF1,26034,3,1
IRF7,3665,3,2
IRX5,10265,3,2
ISG15,9636,3,2
ISG20,3669,3,1
ITGAL,3683,3,1
ITGB3,3690,3,1
ITGB4,3691,3,1
ITIH3,3699,3,2
JAG2,3714,3,2
JMJD6,23210,3,2
KANK4,163782,3,2
KCNA3,3738,3,2
KCNAB1,7881,3,2
KCNJ2,3759,3,1
KDM6B,23135,3,2
KDM7A,80853,3,1
KDR,3791,3,2
KIF1B,23095,3,1
KITLG,4254,3,1
KIZ,55857,3,1
KLB,152831,3,2
KLF15,28999,3,2
KLHDC8B,200942,3,2
KMO,8564,3,2
KPNA4,3840,3,1
KRT10,3858,3,1
KRT7,3855,3,2
LACTB,114294,3,2
LAP3,51056,3,2
LARP6,55323,3,2
LBP,3929,3,1
LDHD,197257,3,2
LEPR,3953,3,2
LILRA1,11024,3,1
LILRB1,10859,3,1
LIMD2,80774,3,2
LINS1,55180,3,1
LIPH,200879,3,1
LMNA,4000,3,2
LPXN,9404,3,1
LRP8,7804,3,2
LRRC36,55282,3,2
LSS,4047,3,1
LTBP2,4053,3,1
LTBP4,8425,3,2
LYPD6,130574,3,1
MAFB,9935,3,2
MAFK,7975,3,2
MAGI1,9223,3,1
MAN2A1,4124,3,1
MAP3K14,9020,3,2
MAP3K5,4217,3,1
MAP4K2,5871,3,2
