Gene Symbol,Gene ID,Interaction Count,Organism Count
PRR15LA,445084,3,1
PRSS1,5644,3,3
PSAT1,29968,3,2
PSMB2,5690,3,2
PSMB3,5691,3,3
PSMC4,5704,3,2
PTGR1,22949,3,2
PTH,5741,3,1
PVALB5,335623,3,1
PVALB8,360208,3,1
RACGAP1,29127,3,2
RAD51,5888,3,2
RAF1,5894,3,2
RAP1B,5908,3,2
RASD1,51655,3,2
RASL11B,65997,3,3
RB1,5925,3,1
RBFOX3,146713,3,2
RGS2,5997,3,2
RHOB,388,3,1
RHOT1,55288,3,2
RIT2,6014,3,2
RNF41L,337495,3,1
RPL23,9349,3,2
RPL32,6161,3,3
RPL37,6167,3,1
RPS2,6187,3,2
RPS25,6230,3,3
RPS3A,6189,3,2
RPSA,3921,3,2
RRAGD,58528,3,2
S100A6,6277,3,2
S100Z,170591,3,1
SCARB1,949,3,2
SCD1,20249,3,1
SCO2,9997,3,1
SDC1,6382,3,2
SEL1L3,23231,3,1
SELENBP1,8991,3,2
SERPINB5,5268,3,2
SERPINF1,5176,3,3
SERTAD1,29950,3,1
SFRP5,6425,3,1
SGK1,6446,3,2
SHBG,6462,3,1
SHISA4,149345,3,2
SKP2,6502,3,2
SLC16A14,151473,3,2
SLC1A4,6509,3,2
SLC25A23,79085,3,2
SLC27A2,11001,3,2
SLC8A1,6546,3,2
SLCO4A1,28231,3,3
SLIT2,9353,3,2
SNRPD1,6632,3,2
SOCS3A,335409,3,1
SPATA20,64847,3,2
SRC,6714,3,1
SRSF1,6426,3,2
SRSF5,6430,3,3
STC2,8614,3,1
STEAP3,55240,3,2
STEAP4,79689,3,2
SULT1B1,27284,3,2
SULT2ST2,777793,3,1
TAC1,6863,3,0
TAF13,6884,3,1
TAX1BP1,8887,3,2
TENT5B,115572,3,1
TFF1,7031,3,2
TFPI,7035,3,2
TGFB1,7040,3,3
TGFB2,7042,3,2
THRSP,7069,3,3
TIMP2,7077,3,3
TIMP3,7078,3,3
TKT,7086,3,1
TLNRD1,59274,3,2
TNFAIP6,7130,3,2
TNFB,554167,3,1
TNS3,64759,3,1
TPM1,7168,3,2
TPM4,7171,3,3
TPX2,22974,3,2
TRIM29,23650,3,2
TTR,7276,3,2
TUBB2A,7280,3,2
TXN,7295,3,2
UBA1,7317,3,1
UBA2,10054,3,1
UBE2L3,7332,3,2
UBE2T,29089,3,1
UQCRC1,7384,3,1
UQCRH,7388,3,2
UTP11,51118,3,1
VHAPPA1-2,41806,3,1
WDR75,84128,3,2
WDR90,197335,3,2
WNT5A,7474,3,2
XBP1,7494,3,2
XIAP,331,3,2
YWHAG,7532,3,2
YWHAH,7533,3,2
YWHAZ,7534,3,2
ZBED3,84327,3,3
ZBTB43,23099,3,1
ZC3H11A,9877,3,2
ZFP36,7538,3,1
ZFR,51663,3,2
ZP3,7784,3,1
A2M,2,2,2
AADAT,51166,2,2
AATK,9625,2,1
ABCA1,19,2,2
ABCA1A,558924,2,1
ABCA2,20,2,2
ABCB10,23456,2,1
ABCC2,1244,2,1
ABCC3,8714,2,1
ABHD15,116236,2,1
ABHD4,63874,2,1
ACADM,34,2,1
ACO2,50,2,1
ACOD1,730249,2,2
ACOX2,8309,2,2
ACSL1A,555308,2,1
ACSL3,2181,2,1
ACSL4,2182,2,2
ACSS1,84532,2,2
ACTB1,57934,2,1
ACTR2,10097,2,2
ACTR3B,57180,2,2
ACY1,95,2,2
ADA,100,2,2
ADAMDEC1,27299,2,1
ADAMTS15,170689,2,1
ADCY2,108,2,1
ADCY3,109,2,1
ADCY6,112,2,2
ADCYAP1,116,2,1
ADD2,119,2,1
ADD3,120,2,2
ADGB,79747,2,1
ADGRE5,976,2,2
ADGRG1,9289,2,2
ADGRL1,22859,2,2
ADH1,11522,2,1
ADHFE1,137872,2,1
ADI1,55256,2,2
ADIPOQ,9370,2,2
AEBP2,121536,2,1
AGBL1,123624,2,1
AGT,183,2,2
AGXT2,64902,2,2
AHNAK,79026,2,1
AHSA1,10598,2,1
AIF1,199,2,2
AIF1L,83543,2,2
AIFM1,9131,2,1
AIFM2,84883,2,1
AK4,205,2,2
AKR1B10,57016,2,1
AKR1C1,1645,2,1
AKR1C2,1646,2,1
AKR1C3,8644,2,1
AKT2,208,2,1
ALAD,210,2,2
ALAS1,211,2,2
ALDH1A2,8854,2,2
ALDH6A1,4329,2,1
ALDOAA,336425,2,2
ALOX12,239,2,2
ALS2,57679,2,1
ALX1,8092,2,1
AMOTL2,51421,2,1
ANGPT1,284,2,1
ANKS6,203286,2,2
ANO10,55129,2,2
ANO7,50636,2,2
ANP32E,81611,2,1
ANPEP,290,2,2
ANXA1,301,2,2
ANXA2,302,2,2
ANXA4,307,2,1
AOX1,316,2,1
APBA1,320,2,0
APC,324,2,2
APCS,325,2,2
APL-1,180783,2,1
APOEB,30314,2,2
APOM,55937,2,2
APPA,58083,2,1
AQP8,343,2,1
AR,367,2,1
AREG,374,2,1
ARG1,383,2,2
ARG2,384,2,1
ARHGAP18,93663,2,2
ARL4D,379,2,2
ARNT,405,2,2
ARNT2,9915,2,1
ARPP19,10776,2,1
ARRB1,408,2,1
ARRDC2,27106,2,2
ARRDC4,91947,2,2
ARSJ,79642,2,1
ASAH2,56624,2,1
ASB10,136371,2,2
ASB14,142686,2,1
ASB7,140460,2,1
ASPH,444,2,1
ASS1,445,2,2
ATAD3A,55210,2,1
ATOH8,84913,2,2
ATP1B1A,64267,2,1
ATP2A1L,494489,2,1
ATP4A,495,2,1
ATP5F1B,506,2,2
ATP5F1C,509,2,2
ATP5MC1,516,2,2
ATP5PB,515,2,1
ATP6V1B2,526,2,2
ATP6V1C1,528,2,1
ATP6V1G1,9550,2,1
ATP6V1G2,534,2,2
ATP6V1G3,127124,2,1
ATP6V1H,51606,2,2
ATR,545,2,1
ATXN7L2,127002,2,1
AURKA,6790,2,1
AWAT1,158833,2,1
AXIN1,8312,2,1
AXL,558,2,1
AZIN1A,550230,2,1
BAD,572,2,2
BAG1,573,2,1
BAG3,9531,2,1
BAIAP2L2,80115,2,1
BANF1,8815,2,2
BANF2,140836,2,1
BCAT1,586,2,1
BCKDHB,594,2,1
BCL2A1,597,2,1
BCL2L11,10018,2,1
BECN1,8678,2,2
BEX2,84707,2,1
BGLAP3,12095,2,1
BHLHE40,8553,2,2
BIB,34330,2,1
BIRC5,332,2,1
BKGD,28970,2,1
BLNK,29760,2,1
BLVRB,645,2,1
BMP15,9210,2,1
BMP2,650,2,1
BMP6,654,2,2
BRF2,55290,2,1
BRINP2,57795,2,1
BTBD10A,560466,2,1
BTBD17,388419,2,1
BTR12,767681,2,1
BUB1B,701,2,1
C11ORF96,387763,2,1
C1QC,714,2,2
C1QL1,10882,2,2
C1QL2,165257,2,2
C1QTNF4,114900,2,1
C5,727,2,1
CA14,23632,2,1
CA3,761,2,2
CACHD1,57685,2,2
CACNG2,10369,2,1
CADM4,199731,2,1
CADPS,8618,2,2
CALCA,796,2,2
CALD1,800,2,2
CALM1,801,2,1
CALM2,805,2,2
CAMK2A,815,2,2
CAMK2N1,55450,2,2
CAR4,12351,2,1
CARD6,84674,2,1
CASTOR2,729438,2,1
CAVIN2B,447845,2,1
CBLB,868,2,1
CBS,875,2,2
CBX4,8535,2,1
CBX5,23468,2,2
CCAR1,55749,2,2
CCDC7,79741,2,1
CCDC92,80212,2,2
CCKAR,886,2,1
CCL26,10344,2,1
CCND3,896,2,1
CCNK,8812,2,1
CCNL2,81669,2,2
CCR8,1237,2,1
CCT5,22948,2,2
CD44,960,2,1
CD47,961,2,1
CD52,1043,2,1
CD55,1604,2,2
CD68,968,2,1
CD82A,324098,2,1
CDC25A,993,2,1
CDC37,11140,2,1
CDC42SE1,56882,2,1
CDC7,8317,2,1
CDCA7,83879,2,2
CDH1,999,2,1
CDH11,1009,2,2
CDH13,1012,2,2
CDH2,1000,2,2
CDH3,1001,2,1
CDK2,1017,2,1
CDK5RAP3,80279,2,1
CDK7,1022,2,1
CDKN2AIP,55602,2,1
CDKN2D,1032,2,1
CDR2L,30850,2,1
CDV3,55573,2,1
CEACAM6,4680,2,1
CEBP1,114453,2,1
CEBPG,1054,2,1
CELF5,60680,2,1
CEMIP,57214,2,1
CENPA,1058,2,2
CENPF,1063,2,2
CFB,629,2,1
CFL1,1072,2,1
CHCHD10,400916,2,2
CHDH,55349,2,2
CHIT1,1118,2,2
CHORDC1,26973,2,1
CHRM1,1128,2,2
CHST8,64377,2,1
CIAPIN1,57019,2,1
CIRBP,1153,2,2
CIT,11113,2,1
CKAP2,26586,2,2
CKS1B,1163,2,1
CLDN10L2,553386,2,1
CLDN11,5010,2,2
CLDN12,9069,2,2
CLDN6,9074,2,2
CLDNB,81581,2,2
CLDND1,56650,2,1
CLDNG,81586,2,1
CLEC4A1,269799,2,2
CLEC4D,338339,2,1
CLIC3,9022,2,1
CLIP4,79745,2,2
CLK1,1195,2,2
CLK2,1196,2,2
CLK4,57396,2,2
CLN6,54982,2,2
CLSTN3,9746,2,1
COA3,28958,2,1
COL1A1,1277,2,2
COL6A2,1292,2,2
COL6A4,68553,2,2
COL7A1,1294,2,2
COMTD1,118881,2,1
COX7A1,1346,2,1
CPA4,51200,2,2
CPE,1363,2,2
CPEB1,64506,2,1
CPEB4,80315,2,1
CPLX2,10814,2,1
CPNE8,144402,2,2
CPSF6,11052,2,2
CRABP2,1382,2,1
CRAT,1384,2,2
CREB3L1,90993,2,2
CREB3L2,64764,2,1
CREBBP,1387,2,2
CRIPT,9419,2,1
CROT,54677,2,2
CRP,1401,2,2
CRX,1406,2,1
CSF1,1435,2,1
CSF1R,1436,2,1
CSF3,1440,2,1
CSF3R,1441,2,1
CSN1S1,1446,2,1
CSNK1A1,1452,2,1
CSPG4,1464,2,2
CSRNP1,64651,2,1
CSRP2,1466,2,2
CSRP3,8048,2,2
CST3,1471,2,2
CST6,1474,2,2
CSTA,1475,2,1
CTNNA1,1495,2,2
CTNNB1,1499,2,1
CTSH,1512,2,1
CTSR,56835,2,1
CTSS,1520,2,2
CUX1,1523,2,1
CXADR,1525,2,2
