Gene Symbol,Gene ID,Interaction Count,Organism Count
BDKRB2,624,1,1
BEX2,84707,1,1
BHMT,635,1,1
BICD1,636,1,1
BIK,638,1,1
BIN2A,494244,1,1
BIRC3,330,1,1
BIRC5,332,1,1
BLK,640,1,1
BMAL1,406,1,1
BMI1,648,1,1
BMP8B,656,1,1
BNIP2,663,1,1
BPIFB1,92747,1,1
BRAF,673,1,1
BRAP,8315,1,1
BRCA2,675,1,1
BRD8,10902,1,1
BRK1,55845,1,1
BSG,682,1,1
BTAF1,9044,1,1
BTBD2,55643,1,1
BTG2,7832,1,1
C11ORF96,387763,1,1
C15ORF39,56905,1,1
C17ORF67,339210,1,1
C1QC,714,1,1
C1R,715,1,1
C1S,716,1,1
C21ORF91,54149,1,1
C2ORF42,54980,1,1
C3,718,1,1
C4B,721,1,1
C4BPA,722,1,1
C4BPB,725,1,1
C5,727,1,1
C5AR1,728,1,1
C6,729,1,1
C7,730,1,1
C8A,731,1,1
C8B,732,1,1
C9ORF78,51759,1,1
C9ORF85,138241,1,1
CA1,759,1,1
CA14,23632,1,1
CA5A,763,1,1
CACYBP,27101,1,1
CADM1,23705,1,1
CADPS,8618,1,1
CALCA,796,1,1
CALD1,800,1,1
CALM1,801,1,1
CALM3,808,1,1
CALR,811,1,1
CAMK1G,57172,1,1
CAMSAP1A,402833,1,1
CAMSAP2,23271,1,1
CAMTA1,23261,1,1
CANT1,124583,1,1
CAPN6,827,1,1
CAPN9,10753,1,1
CARS1,833,1,1
CASP1,834,1,1
CASP12,100506742,1,1
CAVIN1,284119,1,1
CBLIF,2694,1,1
CBX4,8535,1,1
CCDC102B,79839,1,1
CCDC93,54520,1,1
CCL1,6346,1,1
CCL18,6362,1,1
CCL25,6370,1,1
CCL26,10344,1,1
CCL27,10850,1,1
CCL3,6348,1,1
CCL3L1,6349,1,1
CCL3L3,414062,1,1
CCL4L1,388372,1,1
CCL5,6352,1,1
CCL6,20305,1,1
CCNA1,8900,1,1
CCNA2,890,1,1
CCNB1IP1,57820,1,1
CCND2,894,1,1
CCNE1,898,1,1
CCNE2,9134,1,1
CCNL1,57018,1,1
CCNT1,904,1,1
CCR9,10803,1,1
CCSER2,54462,1,1
CCT6A,908,1,1
CCT7,10574,1,1
CD14,929,1,1
CD160,11126,1,1
CD22,933,1,1
CD226,10666,1,1
CD24,100133941,1,1
CD38,952,1,1
CD3G,917,1,1
CD40,958,1,1
CD55,1604,1,1
CD58,965,1,1
CDC14B,8555,1,1
CDC25A,993,1,1
CDC42BPB,9578,1,1
CDC42EP2,10435,1,1
CDC42EP3,10602,1,1
CDC45,8318,1,1
CDCA4,55038,1,1
CDCA8,55143,1,1
CDF-1,180923,1,1
CDH16,1014,1,1
CDK1,983,1,1
CDK5R1,8851,1,1
CDK5R2A,550231,1,1
CDKAL1,54901,1,1
CDKN2C,1031,1,1
CDR1,1038,1,1
CDT1,81620,1,1
CDYL,9425,1,1
CEACAM1,634,1,1
CEBPD,1052,1,1
CEBPG,1054,1,1
CEL,1056,1,1
CELSR3,1951,1,1
CENPM,79019,1,1
CEP-1,172616,1,1
CEP15,57415,1,1
CEP20,123811,1,1
CEP95,90799,1,1
